"Country","1990","1995","2000","2005","2010","2015"
"Angola",0.05,0.07,0.04,0.02,0.02,0.03
"Bolivia (Plurinational State of)",0.13,0.16,0.13,0.1,0.08,0.05
"Brazil",29.27,20.68,27.52,29.62,39.03,34.33
"Burundi",0.52,0.5,0.43,0.09,0.25,0.18
"Ecuador",1.61,2.16,0.75,0.84,0.6,0.42
"Indonesia",7.98,5.24,6.14,8.24,6.43,8.17
"Madagascar",1.05,0.9,0.32,0.54,0.37,0.28
"Malawi",0.11,0.1,0.06,0.02,0.01,0.01
"Papua New Guinea",1.03,1.15,0.91,1.14,0.61,0.46
"Paraguay",0.14,0.03,0.04,0.04,0.01,0.01
"Peru",1,2.14,2.35,2.24,2.87,2.15
"Rwanda",0.57,0.38,0.24,0.3,0.23,0.19
"Timor-Leste",0,0,0.01,0.02,0.04,0.04
"Zimbabwe",0.27,0.15,0.1,0.06,0.01,0.01
"Congo",0,0.01,0,0,0,0
"Cuba",0.44,0.33,0.27,0.09,0.08,0.06
"Dominican Republic",0.94,1.01,0.41,0.28,0.27,0.26
"Haiti",0.42,0.59,0.37,0.32,0.25,0.22
"Philippines",1.04,0.97,0.3,0.39,0.13,0.14
"Tanzania",1,1.03,0.71,0.72,0.6,0.6
"Zambia",0.02,0.03,0.08,0.09,0.01,0
"Benin",0,0,0,0,0,0
"Cameroon",1.8,0.76,0.98,0.78,0.37,0.25
"Central African Rep.",0.19,0.12,0.1,0.02,0.06,0.06
"Colombia",15.44,14.82,9.25,10.75,6,9.1
"Costa Rica",2.75,3.26,2.13,1.49,1.14,0.94
"Cote d'Ivoire",3.15,2.9,4.26,1.89,0.59,0.84
"Congo, Repub. of the",1.7,1.26,0.32,0.3,0.21,0.24
"El Salvador",2.64,2.96,1.5,1.19,1.32,0.37
"Equatorial Guinea",0,0,0,0,0,0
"Ethiopia",3.12,3.63,2.74,4.3,5.28,4.36
"Gabon",0,0,0,0,0,0
"Ghana",0.04,0.06,0.07,0.01,0.05,0.02
"Guatemala",3.51,4.58,4.34,3.31,2.78,2.21
"Guinea",0.05,0.12,0.35,0.47,0.27,0.19
"Guyana",0,0,0,0.01,0.01,0.01
"Honduras",1.68,2.19,2.34,2.88,3.05,3.76
"India",3.03,4.59,4.41,4.11,3.94,3.79
"Jamaica",0.02,0.05,0.03,0.03,0.01,0.01
"Kenya",1.59,1.91,0.88,0.59,0.45,0.52
"Laos",0,0,0.19,0.25,0.38,0.35
"Liberia",0,0.01,0.01,0,0.01,0.01
"Mexico",5.01,6.07,4.23,3.8,2.82,1.8
"Nepal",0,0,0,0,0,0
"Nicaragua",0.49,1.13,1.38,1.29,1.15,1.38
"Nigeria",0.03,0.06,0.04,0.06,0.03,0.03
"Panama",0.23,0.24,0.15,0.16,0.08,0.08
"Sierra Leone",0.05,0.05,0.04,0.05,0.02,0.03
"Sri Lanka",0.1,0.04,0.03,0.03,0.03,0.02
"Thailand",0.81,1.51,1.49,0.96,0.58,0.49
"Togo",0.17,0.1,0.17,0.13,0.11,0.05
"Trinidad & Tobago",0.02,0.02,0.01,0.01,0.01,0.01
"Uganda",2.1,3.71,2.99,1.96,2.3,2.37
"Venezuela",1.2,1.68,1.27,1.35,0.85,0.32
"Vietnam",1.41,4.55,13.05,12.45,14.08,18.66
"Yemen",0,0,0.06,0.18,0.11,0.1
